ID,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
A680,4.523041644,3.947128654,1135.665017,0.855728035,2891.32936,1072.585842,3605.783372,43.2900565,3.849249932,16.7238187,0.001040069,0.23469021,1.43427435,17.49697856,0.014979052,1.250132371,1.842854142,0.134421002,0.243378727,0.01571969
A632,4.380392461,3.448980116,1449.21411,0.802872043,3672.690155,1263.770642,3837.747934,48.87992083,6.206690132,15.37757332,0.00092236,0.164795416,1.032301396,18.42790974,0.014749961,1.827228107,1.166154343,0.191042436,0.208033248,0.015874347
R229,3.89235877,2.612567257,1349.64692,1.007195544,3296.934642,1210.664988,4017.050409,35.79949285,5.65242273,24.51449298,0.000870618,0.266207947,1.134729353,26.45549813,0.011751157,1.114738735,1.936466348,0.089630444,0.199307054,0.015993478
M37W,3.905891538,2.677677975,1392.56597,0.778190849,3558.662985,1107.634454,4038.940027,72.81307629,3.836435998,23.20420571,0.000961887,0.125166212,1.239213933,18.62001341,0.013191632,1.639167648,2.881290965,0.160208903,0.173315645,0.015997125
CI66,3.626735504,2.397247823,1667.32193,0.932773969,3677.586159,1259.176514,4131.977031,30.36818098,7.302060906,25.89400635,0.001291545,0.253668665,1.441556537,21.18402507,0.009798272,1.403254469,2.148525498,0.065504981,0.23755805,0.016068108
CM174,4.655723607,3.728311115,1470.786489,0.747316808,4174.102459,1257.027567,3776.403586,31.9474236,7.12566182,19.75012023,0.001090352,0.21158609,1.399341798,21.01613285,0.014803586,1.35648793,1.630829668,0.08789322,0.202213467,0.016076335
Yu796,3.326819345,1.31342946,1217.119022,0.439183182,3473.910911,1031.853265,3144.95718,49.6710355,6.163136017,17.8354065,0.001188146,0.140322694,1.72461114,24.42666597,0.01451001,1.411294629,1.333677082,0.076523034,0.270189194,0.016176098
CML11,3.825945457,2.988252809,1231.69675,0.631822032,2734.163615,1014.011808,4391.365018,64.92095294,4.730006533,14.16054402,0.001037245,0.143300323,1.219695529,15.74882895,0.016034137,1.722554477,2.128060628,0.14588823,0.165550535,0.016218741
SD40,4.429949596,2.443383345,1270.746644,0.626114559,3050.56885,1033.70017,3489.030439,61.19196207,6.035130763,22.8190954,0.00132543,0.357173908,1.135065461,20.50815303,0.012927813,1.371479828,0.978519839,0.183642454,0.220887367,0.016444073
B46,3.876452153,3.331595409,1439.730877,0.542369985,3930.810807,1098.505135,3271.619815,62.1519774,5.501826263,20.41419813,0.001426863,0.36415056,2.02391692,21.96523132,0.015744558,2.333358707,2.049024716,0.129146065,0.356279315,0.016493599
B109,4.371786263,3.306795989,1163.084974,0.713117184,3177.435475,1378.768883,4475.610528,38.6049038,4.023432766,20.63929268,0.001138302,0.309419452,1.251992443,22.03538993,0.010124515,1.775106705,1.214760449,0.085901924,0.225506456,0.016753941
NC314,3.88043389,3.229443027,1020.403137,0.923672405,3462.236474,1092.293776,4441.525275,45.67468747,5.973513897,17.34962714,0.001656502,0.273151683,1.077655669,28.15622626,0.016825926,1.839427608,2.425630941,0.09348985,0.257487566,0.016970311
K64,4.211195309,3.00674424,1319.796416,0.710915642,3014.961832,1037.125062,3425.427735,33.34902092,5.862706188,14.91103442,0.000980099,0.362599,1.774544599,19.26510973,0.012558703,1.547984933,1.494856273,0.102144606,0.268660414,0.017046971
NC318,4.558226992,3.748056787,1586.001489,1.018099256,3881.800892,1242.03512,3787.466472,108.2018239,8.058454467,19.23606034,0.001546437,0.25156482,2.410360742,20.80625939,0.020529876,1.696272482,0.877821807,0.191749957,0.217662014,0.017107246
NC338,3.625673909,2.412748688,1071.175573,0.68356664,3145.871661,1098.861473,4281.21603,46.64283941,5.895700989,17.60418129,0.001317298,0.088046117,1.758827766,20.06971872,0.009419655,1.480138676,2.124547401,0.114715192,0.168145229,0.017160835
W64A,3.526868815,4.669677955,1360.544826,0.764246694,3343.703194,1143.699607,4360.220946,56.5405174,8.404303857,22.66547488,0.001125977,0.708194418,3.674548466,27.96043664,0.015181821,1.404146485,1.680608235,0.152217281,0.214991619,0.017167868
N6,3.720454857,2.638396084,1443.032187,0.67758432,2790.166428,969.7426949,3527.843772,54.70382932,9.368307793,19.56141252,0.000938374,0.102143927,2.213807091,21.99699741,0.016100193,1.35745383,1.172561483,0.112628809,0.156388088,0.017210456
Ki44,6.24757828,2.70136381,1357.354962,0.984630141,4182.105828,1303.392404,5802.250389,80.56378815,4.717689258,22.69689857,0.001805664,0.15939915,1.756043042,35.73490401,0.015019737,1.859325722,1.959405247,0.220593034,0.151099579,0.01722499
B73Htrhm,4.294427835,4.167541479,1137.284007,0.962762364,3051.970332,1153.309965,4322.04795,46.44385022,4.247995349,19.8537247,0.001161196,0.188277673,1.431688759,22.20980079,0.019952984,1.820825463,1.867677901,0.165647699,0.217006335,0.017319231
MS71,4.747826749,2.485730318,1305.265313,0.769666808,3525.925945,928.7905149,3588.599063,70.11681755,10.07928481,18.54807928,0.000994798,0.224077437,2.149227471,24.70890177,0.011032392,1.200067272,0.855124785,0.139812361,0.239166796,0.017359889
B73,4.17852216,2.869450311,1194.817942,0.861963301,3108.070285,1154.262796,4237.735658,47.06956546,4.805987579,20.77349173,0.00119378,0.203731656,1.544853806,23.66847622,0.013681401,1.489971331,1.457170745,0.13533963,0.230179455,0.017374751
Ci7Goodman-Buckler,4.456497255,3.129844309,1470.1966,0.736029161,3076.844201,1043.125118,3512.752209,50.3663239,9.129506436,19.88946711,0.001319824,0.444264161,1.818265058,22.65667519,0.014952168,1.81438141,1.679842284,0.145894303,0.200785427,0.017545011
NC294,3.773803019,3.560800486,1349.222734,0.75974784,3496.476253,1094.063902,4178.332397,68.3330593,5.069705398,15.18222637,0.001070701,0.169000088,1.8814405,24.00868884,0.011602631,1.867276816,1.289416487,0.139005338,0.158054201,0.017577978
SA24,4.051441128,2.628494043,1226.206524,0.598246712,3190.986066,1103.933782,3633.093248,87.06749019,6.26597391,20.88967377,0.001370456,0.168037549,1.910081306,28.10649264,0.015452016,3.03503962,1.0493178,0.184459807,0.478215571,0.017611289
Va99,3.905357845,2.863938321,1479.300339,0.916423515,3453.154252,1135.801906,3662.659616,93.0914366,5.644394616,13.80002496,0.001310258,0.088496022,2.740286013,19.34026522,0.011504199,1.906460231,1.851437715,0.168663148,0.423536444,0.017650615
A659,3.84842391,2.466070495,1299.533296,0.930584716,3090.085894,1156.266535,4641.936963,75.8143687,9.17196161,18.72969759,0.001625864,0.266667755,1.309441475,20.42721497,0.016190942,1.483885875,1.250285423,0.103893357,0.291289793,0.017690836
NC264,4.428025462,2.287702423,1368.660449,0.749484761,3601.300841,1129.389686,3744.416206,79.52942668,4.700912752,16.50592442,0.001746675,0.377857479,2.453992258,23.17750744,0.019339283,2.476696601,2.696846948,0.157386024,0.269422704,0.017699862
A679,4.809351957,2.611909518,1107.08494,0.703322014,3309.764492,1167.527698,4524.841785,70.34014609,4.63404633,17.65943107,0.001419886,0.180041334,1.670491203,19.45235289,0.012054468,1.661378049,0.898459441,0.140470567,0.443770243,0.017700232
R4,4.485358023,2.257826388,1201.169399,0.519417266,3030.39973,1071.41192,3559.082819,32.15471955,3.83727494,14.00048427,0.000818216,0.173985003,0.756744271,22.1006268,0.011254219,1.491458841,1.958950164,0.078632659,0.147286318,0.017706114
Tx601,3.554573456,2.215144341,1182.698952,0.908187821,3076.076835,1069.321485,4786.720043,52.56321803,3.027017993,20.5355361,0.001186647,0.103918585,0.895890186,20.42768077,0.017764606,1.520916631,2.434064153,0.107038204,0.190047678,0.017749606
CI21E,3.625014705,2.86273572,1412.142888,0.698738328,2855.180332,1123.451691,3067.177671,49.38045044,5.555484175,19.81212115,0.001421562,0.232918826,2.418050959,25.53861564,0.013236656,1.31989986,1.221923989,0.145273965,0.22314286,0.017872311
Tx303,4.785883512,3.766040226,1233.312426,0.809099394,3150.528977,1130.818212,4396.295359,80.36462361,5.55265127,13.11228525,0.003146991,0.292812244,3.399394802,28.28667876,0.014488087,1.751329639,2.558935435,0.167918737,0.279037766,0.017933575
