plate,numinSet,sample,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,isIBM,pedigree,znum,PlotID,pop,SampleWeight,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
48,204,10PU1398,227,2462,4,8,6,12,548,MO380,IBM,Z017E0199,10PU1398,17,281.539,4.616154749,2.944753378,1495.055132,0.728675208,3274.505087,1342.153705,4999.511386,58.51477823,8.847379478,23.34432466,0.001234897,0.202933545,2.728927164,27.32288836,0.014303201,0.975691841,0.313518802,0.120843289,0.385976433,0.051963203
45,154,10PU1478,164,2399,4,8,3,9,485,MO268,IBM,Z017E0166,10PU1478,17,282.848,4.227246671,3.718835425,1114.102237,0.814699614,2946.338512,1087.961486,3749.675171,44.09046871,4.387307214,18.39854884,0.001095037,0.061181996,1.341060056,19.93487953,0.014240308,1.484072424,0.326307533,0.112823031,0.317845427,0.051937542
30,278,10PU0803,319,1591,3,5,6,6,319,NA,(B73×Ky21)S5 Sib,Z014E0208,10PU0803,14,261.897,4.350494959,3.065155503,1242.442472,0.790587606,3383.60023,1289.42383,4067.333784,122.539105,4.456867559,19.91363818,0.001125351,0.148103717,2.056939219,26.17583284,0.016412913,1.631510526,0.3852101,0.402384985,0.466184822,0.051872222
25,31,10PU1493,34,1306,3,5,1,1,34,MO229,IBM,Z017E0157,10PU1493,17,270.56,3.543054567,7.225387092,1064.452043,0.905836096,3080.00547,1003.786496,3410.220977,41.47578224,3.651495585,18.92656877,0.000874162,0.213515337,2.389747784,22.95274049,0.012069824,1.296838174,0.288201389,0.106832525,0.349612806,0.051865176
70,120,10PU1405,134,3653,6,12,4,10,455,MO278,IBM,Z017E0170,10PU1405,17,144.16,3.470217837,0.93273564,1248.389076,0.499448191,4300.687578,1339.805853,5082.880764,43.92018791,4.985514909,22.52488342,0.001871818,0.304963381,2.108229397,26.62358614,0.012198479,1.227326508,0.346273956,0.084711091,0.245980634,0.051842218
33,161,10PU1365,179,1772,3,6,3,9,500,NA,Mo17,Z027E0282,10PU1365,27,272.125,3.511863378,1.483615849,1282.172346,0.605696685,3049.182505,1011.00451,3509.687544,62.26873048,8.182267935,22.21120079,0.001337507,0.134746997,1.763991521,22.28344263,0.01121757,1.27576476,0.341900804,0.213854037,0.347354731,0.051614369
21,161,10PU1333,179,1130,2,4,3,9,500,MO123,IBM,Z017E0122,10PU1333,17,245.973,3.676225049,1.796213012,1423.042548,0.591029458,3484.967352,1261.511333,4041.950611,38.40259526,8.53148373,26.19240447,0.002235818,0.151120475,1.597388464,25.72733659,0.014766768,0.946217753,0.520657827,0.183647406,0.554392299,0.051608973
11,224,10PU1458,249,569,1,2,5,11,569,MO046,IBM,Z017E0030,10PU1458,17,172.19,4.091086827,5.666838403,1268.085012,1.179457468,3665.430542,1160.337283,5146.432396,94.05817021,4.170392522,25.93507668,0.001288854,0.083792931,2.617842575,26.68257429,0.025529498,0.703273162,0.401553795,0.331837163,0.405565608,0.051603458
30,214,10PU4205,230,1502,3,5,6,6,230,NA,Oh40B,Z027E0225,10PU4205,27,228.396,5.157740265,2.502674497,1354.382433,1.332318008,3430.950709,1256.288949,4781.566525,46.85287609,5.949034294,23.51203083,0.00247069,0.107969848,4.031936744,28.2466002,0.028598843,3.136224048,1.648183145,0.12342996,0.669498617,0.051519399
81,131,10PU0661,136,4297,7,14,3,9,457,NA,(B73×Ky21)S5 Sib,Z014E0178,10PU0661,14,248.52,3.686502878,1.325007917,1419.239105,0.977567862,3004.465055,1068.877436,4267.229828,48.28779461,4.948527849,17.84941792,0.001527635,0.258721512,2.005581289,26.7415216,0.015921697,1.112950908,0.537439258,0.062923886,0.521225922,0.051512496
41,257,10PU1514,289,2203,4,7,5,5,289,MO284,IBM,Z017E0059,10PU1514,17,197.06,4.793830416,5.045128892,1179.292986,1.461144915,3800.244405,1198.041713,5853.808931,62.71547499,4.065130912,22.11941963,0.001625948,0.220295032,3.361610611,24.09587165,0.024768491,1.661061748,0.446857228,0.139126185,0.633586701,0.051290551
24,216,10PU4048,228,1179,2,4,6,12,549,NA,Mo17,Z027E0282,10PU4048,27,363.235,5.734968763,2.976370233,1306.437625,0.519330678,3700.352767,1186.209661,3950.253976,42.77337991,5.594645132,20.33671937,0.000851398,0.137462396,2.599398032,22.15396723,0.012895343,2.1393076,0.957274735,0.113885832,0.354370959,0.051270682
79,3,10PU1466,12,4173,7,14,1,7,333,MO047,IBM,Z017E0100,10PU1466,17,217.209,4.62359761,3.542845744,1272.908137,0.730076712,3480.227085,1043.731067,4152.287404,53.77686408,7.492220927,19.05079488,0.001716938,0.090466763,1.764963091,22.36060723,0.020462152,0.878424824,0.469975364,0.109395693,0.390185608,0.051257553
33,192,10PU1365,202,1795,3,6,3,9,523,NA,Mo17,Z027E0282,10PU1365,27,343.099,4.416693494,2.246348391,1321.597482,0.577275905,3634.839796,1003.139802,3607.674818,49.23638225,7.135762369,19.8365343,0.00103318,0.152517468,2.276062827,20.87718515,0.009003853,1.034501467,0.350319146,0.192224421,0.378275692,0.051185509
71,220,10PU4022,245,3764,6,12,5,11,566,NA,Tzi16,Z027E0256,10PU4022,27,263.771,4.353060899,2.246616577,1552.203963,1.301912992,3865.139985,1211.705948,4060.449489,23.65945294,6.477476868,22.76703019,0.001319149,0.158245723,0.982585875,30.30000168,0.006954434,1.260052713,0.815115219,0.052557471,0.116577068,0.051005908
34,184,10PU1431,210,1803,3,6,4,10,531,MO016,IBM,Z017E0009,10PU1431,17,342.735,5.495116043,2.917196541,1303.962105,0.833594543,3779.312652,1172.079479,4912.852223,46.15896271,5.012435491,26.08051886,0.001111174,0.072433565,2.835591297,25.81263783,0.022810084,1.383784364,0.333968268,0.179021673,0.423014019,0.051004039
7,68,10PU0841,76,396,1,2,1,7,396,NA,(B73×Ky21)S5 Sib,Z014E0001,10PU0841,14,330.894,3.417970148,1.562517073,1363.204234,0.418963567,2829.230069,1200.007965,4158.067213,31.43777606,5.215684777,18.01448071,0.000952217,0.063519488,1.426444835,22.55859188,0.01307028,1.320199452,0.212278633,0.094761123,0.337630212,0.050863813
77,254,10PU4221,293,4133,7,13,5,5,293,NA,DE_3,Z027E0112,10PU4221,27,192.647,5.495735737,1.347290541,1097.077059,0.888602979,4035.374338,1057.525758,5382.474717,37.219246,2.458961165,12.30723865,0.001706994,0.077536304,1.755339411,14.70732136,0.020798203,2.278158795,3.294860144,0.014214146,0.355174595,0.050854971
49,36,10PU4134,28,2584,5,9,1,1,28,NA,Mo17,Z027E0282,10PU4134,27,303.631,4.971375074,1.695848322,1388.55099,0.377926526,3660.908995,1160.648844,4016.869228,44.67233692,8.255315305,21.35424737,0.00133509,0.158310962,2.331445507,23.74930758,0.013921158,1.273698434,0.806564498,0.096801825,0.420899206,0.050532919
