plate,numinSet,sample,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,isIBM,pedigree,znum,entity_id,pop,SampleWeight,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
55,57,5010,58,2935,5,10,1,7,379,NA,NC260,Z027E0187,09IN5010,27,295.85,4.175756879,2.690567539,1326.138488,0.487044396,3186.901159,990.3416316,3402.128057,66.21098659,7.334382401,23.58329646,0.001330911,0.167197924,0.699304626,24.38425195,0.013287559,1.069950991,1.68737139,0.113757781,0.21610437,0.177016903
80,21,5002,24,4185,7,14,2,8,345,NA,NC262,Z027E0188,09IN5002,27,269.714,4.812112509,1.041481198,1382.712009,0.577334672,3381.808974,1179.149635,3795.096917,33.04980886,5.046913073,23.20732257,0.001315174,0.161874649,2.943721877,26.14268497,0.014228819,0.942231923,2.007313796,0.018836469,0.167956826,0.165768423
55,30,5103,35,2912,5,10,1,7,356,NA,I29,Z027E0134,09IN5103,27,127.693,5.273636248,7.91851959,1713.950348,1.84609753,4963.508007,1149.195082,3538.102281,62.65684644,5.5451071,27.67569815,0.002692529,0.200383831,3.90870395,29.27699099,0.030701059,1.76985881,0.914581496,0.185608524,0.486718472,0.158018446
50,10,4997,4,2560,5,9,2,2,4,NA,P39,Z027E0231,09IN4997,27,175.771,4.586799481,4.470075788,1607.968467,0.680347213,3653.025188,1170.626517,4758.587342,65.46430582,7.168449648,24.31493942,0.002142643,0.271825374,2.153106895,27.1678381,0.021758788,0.961739282,2.08950273,0.135006459,0.254462963,0.154216138
8,10,4997,4,324,1,2,2,8,324,NA,P39,Z027E0231,09IN4997,27,170.443,3.91317931,3.876559429,1440.22115,0.686168119,3257.079906,1074.306884,4582.81193,98.58310957,6.801004304,23.11018787,0.001309718,0.284226092,2.250301577,25.21582751,0.022477011,1.178687318,2.017529791,0.364549699,0.237007815,0.153368396
80,75,5102,92,4253,7,14,2,8,413,NA,Ky21,Z027E0154,09IN5102,27,236.001,3.495114042,0.852748084,1617.062513,0.659526049,2845.214168,1077.638636,4768.027387,195.244673,6.503692237,16.81290571,0.001321547,0.064278204,5.124122054,21.13055477,0.016600945,0.658875907,1.265459466,0.355762634,0.323298236,0.148348282
80,12,5002,2,4163,7,14,2,8,323,NA,NC262,Z027E0188,09IN5002,27,244.13,4.60823186,0.977114523,1459.698869,0.501890208,3602.726014,1219.131886,3907.811509,40.08886413,4.97040572,23.00774109,0.001415346,0.173595692,2.884742297,25.63961635,0.01594534,1.311053822,2.024325362,0.033159842,0.140715042,0.146514201
8,23,4997,26,346,1,2,2,8,346,NA,P39,Z027E0231,09IN4997,27,180.126,3.828163112,4.062043887,1527.706436,0.815453252,3336.447915,1130.247681,4662.167947,78.67871467,7.22424992,22.82492209,0.001148954,0.268890275,1.971495943,24.98147681,0.022638384,1.506161052,2.022537073,0.315938437,0.229700286,0.139281929
60,212,5043,233,3110,5,10,6,12,554,NA,Mo24W,Z027E0165,09IN5043,27,107.116,6.166157692,7.385010503,1352.906934,1.655751277,4079.73339,1248.086503,4417.434873,110.4255931,5.014077504,17.41768876,0.002349013,0.226119443,3.317436144,24.58767305,0.036406819,1.551930822,3.553603147,0.246379269,0.28606524,0.134146358
68,44,4871,49,3568,6,12,2,8,370,NA,4722,Z027E0002,09IN4871,27,113.115,2.964494209,2.451743113,1581.928619,1.359423453,4323.456963,1538.610416,4268.54527,87.68960499,14.08502871,22.03940974,0.001810645,0.368958771,1.280126541,30.87015152,0.011360476,1.877908243,3.297342821,0.12712541,0.236924184,0.131152241
29,249,4958,277,1549,3,5,5,5,277,NA,NC364,Z027E0221,09IN4958,27,116.516,5.467748904,5.315036272,1094.339322,1.713295236,3624.821916,1250.583475,4638.51982,142.0717742,3.792536466,17.98822026,0.001208261,0.130918802,3.651785651,23.89702941,0.00835252,2.180480872,2.144696495,0.756180613,0.207429306,0.130180874
38,86,5102,96,2010,4,7,2,2,96,NA,Ky21,Z027E0154,09IN5102,27,340.987,4.302517025,2.601104678,1550.262301,0.365491639,3332.166878,985.8666748,4230.362006,76.74496524,5.070205909,17.06690067,0.000688691,0.057682593,2.681681715,22.8331235,0.013028195,1.086284631,1.271107681,0.107940652,0.314362319,0.128431659
5,227,5073,253,253,1,1,5,5,253,NA,NC366,Z027E0222,09IN5073,27,214.533,4.364646953,3.190375043,1458.581287,1.63479115,3161.388381,1270.351586,4574.861711,70.46898405,5.037027768,17.92137627,0.001181204,0.247837162,2.363178713,30.54504341,0.0152779,0.85039213,2.869692833,0.368307667,0.200469144,0.127279213
52,144,5084,160,2716,5,9,4,4,160,NA,Ki21,Z027E0150,09IN5084,27,305.664,4.521174771,3.045833126,1362.473487,0.741209735,3538.017984,1123.612589,4221.456332,46.25350948,5.175549975,18.76158471,0.001117592,0.069135367,3.361980411,24.22574127,0.013076079,2.364045901,1.376702733,0.08324322,0.271849611,0.125461694
54,238,5097,257,2813,5,9,6,6,257,NA,NC344,Z027E0211,09IN5097,27,151.528,5.475197433,5.357025981,1323.341411,0.801197383,4030.350459,1200.144653,4771.755815,46.14342065,6.330100576,14.14354834,0.001461117,0.157920977,2.440495062,21.66044051,0.025589534,1.578107638,1.676979661,0.105804537,0.126713552,0.123105881
29,232,4958,264,1536,3,5,5,5,264,NA,NC364,Z027E0221,09IN4958,27,166.811,4.888108641,3.21675638,1199.967694,0.966069998,3556.4743,1104.551161,4849.247854,115.4208981,3.608366773,22.22917409,0.001025606,0.148845207,2.800872026,21.66833006,0.007157488,1.428363647,2.069053104,0.45138018,0.216875833,0.120444429
8,24,4980,27,347,1,2,2,8,347,NA,NC342,Z027E0210,09IN4980,27,114.651,4.665876625,7.85577308,1382.250145,1.536984874,3450.154316,1264.07419,3893.429273,105.1230331,6.56826348,24.62553117,0.001607329,0.345740491,2.757271559,23.04858891,0.026465803,1.507745909,2.404846386,0.59424206,0.162950143,0.119737517
87,162,4898,180,4662,8,15,3,3,180,NA,GA209,Z027E0121,09IN4898,27,211.727,5.505854597,1.995396464,1331.547144,0.872168348,2759.393792,1191.558278,4300.028364,34.56597238,6.909794951,27.31412132,0.000898933,0.157442839,1.264726127,41.30188364,0.015539163,1.263596254,1.857970299,0.054981174,0.202227401,0.118219035
57,131,5000,136,3013,5,10,3,9,457,NA,NC354,Z027E0216,09IN5000,27,244.063,3.550061731,1.531133519,1012.638873,0.396418586,3023.276584,1099.099053,4601.413632,47.8996925,6.757934297,21.33528071,0.001120871,0.078362337,1.122341799,19.18388044,0.01592473,1.445509813,2.373472692,0.085092355,0.075833392,0.11739728
